query,expectedCategory,gotCategory,expectedDenom,gotDenom,expectedDest,gotDest,resultCount,error,status,note
אירוח שבת קרוב אליי,hosting,hosting,,,ונציה,Tel Aviv,,,✅ OK,hosting
שניצל ליד זכרון יעקב,restaurant,restaurant,,,זכרון יעקב,Zichron Yaakov,,,✅ OK?,לא נספר
מניין מנחה וערבית עדות המזרח,minyan,minyan,sfarad,sfarad,,Tel Aviv,,,✅ OK,minyan
דגים בד״ בירושלים,restaurant,restaurant,,,ירושלים,Jerusalem,,,✅ OK?,לא נספר
מסעדה פרווה גלאט בנאפולי,restaurant,restaurant,,,נאפולי,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
כפר סבא,destination,destination,,,כפר סבא,Kfar Saba,,,✅ OK,destination
איפה יש אוכל כשר בברצלונ,restaurant,restaurant,,,ברצלונה,Barcelona,,,✅ OK?,לא נספר
מניין מנחה וערבית במגדל העמק,minyan,minyan,,,מגדל העמק,Migdal HaEmek,,,✅ OK,minyan
ניוקי בנהריה למשפחות,restaurant,restaurant,,,נהריה,Nahariya,,,✅ OK?,לא נספר
אירוח לשבת בהודו,hosting,hosting,,,הודו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
בית כנסת בוינה,synagogue,synagogue,,,וינה,Vienna,,,✅ OK?,לא נספר
בית כנסת תימני ביוון,synagogue,synagogue,teimanim,teimanim,יוון,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
פנקייק כאן,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מחפש בוריטו טוב בבית שמש,restaurant,restaurant,,,בית שמש,Beit Shemesh,,,✅ OK?,לא נספר
מסעדה תימני לא יקר באזור,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
אנטריקוט ליד מעלה אדומים,restaurant,restaurant,,,מעלה אדומים,Ma'ale Adumim,,,✅ OK?,לא נספר
מניין מוסף בבודפשט,minyan,minyan,,,בודפשט,Budapest,,,✅ OK,minyan
מסעדה אסייתי ליד צרפת,restaurant,restaurant,,,צרפת,France,,,✅ OK?,לא נספר
מקום לשבת לידי,hosting,hosting,,,ג׳רבה,Tel Aviv,,,✅ OK,hosting
סעודה שלישית במקסיק סיטי,hosting,hosting,,,מקסיקו סיטי,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה פרווה שווה גלאט באשדוד,restaurant,restaurant,,,אשדוד,Ashdod,,,✅ OK?,לא נספר
אסאדו הכי טוב בד״ץ ליד ספרד,restaurant,restaurant,,,ספרד,Spain,,,✅ OK?,לא נספר
בייגל גלאט ליד אילת,restaurant,restaurant,,,אילת,Eilat,,,✅ OK?,לא נספר
בייג,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
ארוחת ליל שבת לידי,hosting,hosting,,,אשדוד,Tel Aviv,,,✅ OK,hosting
מעדה הודי בבלגיה,restaurant,,,,בלגיה,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה הויד,restaurant,restaurant,,,,Hod HaSharon,,,✅ OK?,לא נספר
מלבי ליד בודפשט,restaurant,restaurant,,,בודפשט,Budapest,,,✅ OK?,לא נספר
לינה לשבת בנהריה,hosting,hosting,,,,Nahariya,,,✅ OK,hosting
דים גלאט כאן,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה הודי הכי טוב מהדרין פה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
אירוח שבת במרוקו,hosting,hosting,,,,Morocco,,,✅ OK,hosting
מסעדה מקסיקני מהדרין ליד חדרה,restaurant,restaurant,,,חדרה,Hadera,,,✅ OK?,לא נספר
מניין מנחה אשכזי במונטריאול,minyan,minyan,ashkenaz,,מונטריאול,Montreal,,,✅ OK,minyan
מניין מנחה וערבית בבואנוס איירס,minyan,minyan,,,בואנוס איירס,Buenos Aires,,,✅ OK,minyan
שווארמה הכי טוב ברמלה למשפחות,restaurant,restaurant,,,רמלה,Ramla,,,✅ OK?,לא נספר
להתאר בשבת לידי,hosting,hosting,,,,Tel Aviv,,,✅ OK,hosting
מסעדה יפני בדימונה פתוח עכשיו,restaurant,restaurant,,,דימונה,Dimona,,,✅ OK?,לא נספר
מסעדה פרווה שווה ליד הבית,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
אוכל כשר,any,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
וינה,destination,destination,,,וינה,Vienna,,,✅ OK,destination
מסעדה אסייתי כאן,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
קרואסון,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
נודלס בקזבלנקה,restaurant,restaurant,,,קזבלנקה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין מנחה וערבית נוסח אשכנז,minyan,minyan,ashkenaz,ashkenaz,,Tel Aviv,,,✅ OK,minyan
איפה יש אוכל כשר בגבעתיים,restaurant,restaurant,,,גבעתיים,Givatayim,,,✅ OK?,לא נספר
מניין מנחה בנהריה,minyan,minyan,,,נהריה,Nahariya,,,✅ OK,minyan
סושי זול,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
פנקיק במרקש,restaurant,restaurant,,,מרקש,Marrakech,,,✅ OK?,לא נספר
מסעדה צמחוני מהדרין ליד פתח תקווה,restaurant,restaurant,,,פתח תקווה,Petah Tikva,,,✅ OK?,לא נספר
מסעדה טבעוני בקרית שמונה,restaurant,restaurant,,,קרית שמונה,Kiryat Shmona,,,✅ OK?,לא נספר
בית כנסת נוסח אשכנז בטוקיו,synagogue,synagogue,ashkenaz,ashkenaz,טוקיו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה כשרה בטבריה,restaurant,restaurant,,,טבריה,Tiberias,,,✅ OK?,לא נספר
בתי כנס תימני בהולנד,synagogue,,teimanim,,הולנד,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה איטלקי בניו יורק,restaurant,restaurant,,,ניו יורק,New York,,,✅ OK?,לא נספר
בקלאווה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
סטייק גלאט ליד אמסטרדם,restaurant,restaurant,,,אמסטרדם,Amsterdam,,,✅ OK?,לא נספר
בית כנסת בלאדי בבני ברק,synagogue,synagogue,teimanim,teimanim,בני ברק,Bnei Brak,,,✅ OK?,לא נספר
מסעדה אמריקאי כאן למשפחות,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה חלבי בגן יבנה,restaurant,restaurant,,,גן יבנה,Gan Yavne,,,✅ OK?,לא נספר
יבת כנסת באילת,synagogue,synagogue,,,אילת,Eilat,,,✅ OK?,לא נספר
ניוקי שווה מהדרין ביטליה,restaurant,restaurant,,,איטליה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
בתי כנסת ברמלה,synagogue,synagogue,,,רמלה,Ramla,,,✅ OK?,לא נספר
עפולה,destination,destination,,,עפולה,Afula,,,✅ OK,destination
ארוחת ליל שבת בבני ברק,hosting,hosting,,,,Bnei Brak,,,✅ OK,hosting
בית כנסת נוסח תימן ליד גבעתיים,synagogue,synagogue,teimanim,teimanim,גבעתיים,Givatayim,,,✅ OK?,לא נספר
מניין מנחה במיאמי,minyan,minyan,,,מיאמי,Miami,,,✅ OK,minyan
מסעדה פרווה בפורטוגל,restaurant,restaurant,,,פורטוגל,Portugal,,,✅ OK?,לא נספר
להתארח בשבת ברחובות,hosting,hosting,,,רחובות,Rehovot,,,✅ OK,hosting
מלבי בגדרה למשפחתו,restaurant,restaurant,,,גדרה,Gedera,,,✅ OK?,לא נספר
מסעדה כשרה באנטוורפן,restaurant,restaurant,,,אנטוורפן,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין,any,minyan,,,,Tel Aviv,,,✅ OK,minyan
מסעדה יפני רבנות בעכו,restaurant,restaurant,,,עכו,Akko,,,✅ OK?,לא נספר
מסעדה סיני מומלץ גלאט כאן,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה טבעוני זול ליד יקנעם,restaurant,restaurant,,,יקנעם,Yokneam,,,✅ OK?,לא נספר
בנגקוק,destination,destination,,,בנגקוק,Bangkok,,,✅ OK,destination
מסעדה טבעוני מומלץ מהדרין,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בתי כנסת ליטאי ברומא,synagogue,synagogue,ashkenaz,ashkenaz,רומא,Rome,,,✅ OK?,לא נספר
איסטנבול,destination,,,,איסטנבול,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין מנחה וערבית בזכרון עיקב,minyan,minyan,,,זכרון יעקב,Zichron Yaakov,,,✅ OK,minyan
מסעדה איטלקי גלאט באור יהודה,restaurant,restaurant,,,אור יהודה,Or Yehuda,,,✅ OK?,לא נספר
בית כנסת קרוב אליי,synagogue,synagogue,,,,Tel Aviv,,,✅ OK?,לא נספר
עוגה כאן ליד הים,restaurant,restaurant,,,,Lod,,,✅ OK?,לא נספר
סעודה שלישית בטוקיו,hosting,hosting,,,טוקיו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה חלבי שווה במגדל העמק,restaurant,restaurant,,,מגדל העמק,Migdal HaEmek,,,✅ OK?,לא נספר
טבריה,destination,destination,,,טבריה,Tiberias,,,✅ OK,destination
מסעדה איטלקי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה כשרה באור יהודה,restaurant,restaurant,,,אור יהודה,Or Yehuda,,,✅ OK?,לא נספר
בית כנסת שאמי בלוד,synagogue,synagogue,teimanim,teimanim,לוד,Lod,,,✅ OK?,לא נספר
פנקייק ליד הבית,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בקלאווה מהדרין בארגנטינה,restaurant,restaurant,,,ארגנטינה,Argentina,,,✅ OK?,לא נספר
קינוח שווה ליד לונדון,restaurant,restaurant,,,לונדון,London,,,✅ OK?,לא נספר
מניין שחרית נוסח ספרד בדימונה,minyan,minyan,sfarad,sfarad,דימונה,Dimona,,,✅ OK,minyan
בוריטו באזור ליד הים,restaurant,restaurant,,,,Lod,,,✅ OK?,לא נספר
מסעדה טורקי יוקרתי כאן,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
חלבי,any,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
ארוחת ליל שבת בספרד,hosting,hosting,,,ספרד,Spain,,,✅ OK,hosting
מעדה חלבי כאן,restaurant,restaurant,,,,Ma'ale Adumim,,,✅ OK?,לא נספר
בתי כנסת ליטאי ליד ליון,synagogue,synagogue,ashkenaz,ashkenaz,ליון,Lod,,,✅ OK?,לא נספר
מסעדה פרווה רבנות בבית שמש,restaurant,restaurant,,,בית שמש,Beit Shemesh,,,✅ OK?,לא נספר
אירוח לשבת בנאפולי,hosting,hosting,,,,,,destination_not_found,❌ NO_RESULT,destination_not_found
מאפים גלאט כאן,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
לינה לשבת באנטורופן,hosting,hosting,,,אנטוורפן,Vienna,,,✅ OK,hosting
מקום טוב לאכול בראשון לציון,restaurant,restaurant,,,ראשון לציון,Rishon LeZion,,,✅ OK?,לא נספר
מסעדה חלבי דב״ץ בבית שמש,restaurant,restaurant,,,בית שמש,Beit Shemesh,,,✅ OK?,לא נספר
מסעדה טבעוני יוקרתי מהדרין,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מקום טוב לאכול בליון,restaurant,restaurant,,,ליון,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
קרואסון בד״ץ באזור רומנטי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
משהו טעים,any,restaurant,,,,,,destination_not_found,⚠ VAGUE,עמום
בקלאווה שווה כאן עם ילדים,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מקום טוב לאכול ברעננה,restaurant,restaurant,,,רעננה,Ra'anana,,,✅ OK?,לא נספר
בית כנסת שאמי בגרמניה,synagogue,synagogue,teimanim,teimanim,גרמניה,Germany,,,✅ OK?,לא נספר
בייגל יוקרתי ליד מקסיקו סיטי,restaurant,restaurant,,,מקסיקו סיטי,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
פוקה גלאט באזור,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה טורקי מהדרין בגדרה,restaurant,restaurant,,,גדרה,Gedera,,,✅ OK?,לא נספר
בית כנסת מרוקאי במיאמי,synagogue,synagogue,sfarad,sfarad,מיאמי,Miami,,,✅ OK?,לא נספר
מחפש פוקה טוב בטוקיו,restaurant,restaurant,,,טוקיו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
שוקולד שווה בד״ץ קרוב אליי למשפחות,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
ניוקי פה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה בשרי זול לידי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת ליטאי ליד הוד השרון,synagogue,synagogue,ashkenaz,ashkenaz,הוד השרון,Hod HaSharon,,,✅ OK?,לא נספר
מקום לשבת בלונדון,hosting,hosting,,,לונדון,London,,,✅ OK,hosting
אנטריקוט גלאט לדי ניו יורק,restaurant,restaurant,,,ניו יורק,New York,,,✅ OK?,לא נספר
נהריה,destination,destination,,,נהריה,Nahariya,,,✅ OK,destination
סטייק לא יקר ליד רמת גן עם משלוחים,restaurant,restaurant,,,רמת גן,Ramat Gan,,,✅ OK?,לא נספר
שקשוקה מומלץ רבנות כאן,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין מנחה וערבית חסידי בטורונטו,minyan,minyan,chabad,chabad,טורונטו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין שרחית,minyan,minyan,,,,Tel Aviv,,,✅ OK,minyan
אירוח לשבת בלוס אנג׳לס,hosting,hosting,,,לוס אנג׳לס,Los Angeles,,,✅ OK,hosting
מסעדה בשרי ליד זכרון יעקב,restaurant,restaurant,,,זכרון יעקב,Zichron Yaakov,,,✅ OK?,לא נספר
בית כנסת ספרדי ליד ונציה,synagogue,synagogue,sfarad,sfarad,ונציה,Lod,,,✅ OK?,לא נספר
מסעדה כשרה בצפת,restaurant,restaurant,,,צפת,Tzfat,,,✅ OK?,לא נספר
בית כנסת ליטאי ליד תל אביב,synagogue,synagogue,ashkenaz,ashkenaz,תל אביב,Tel Aviv,,,✅ OK?,לא נספר
ארוחת ליל שבת בליון,hosting,hosting,,,ליון,,,destination_not_found,❌ NO_RESULT,destination_not_found
בית כנסת בגן יבנה,synagogue,synagogue,,,גן יבנה,Gan Yavne,,,✅ OK?,לא נספר
סלט כאן,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין מסף בראשון לציון,minyan,minyan,,,ראשון לציון,Rishon LeZion,,,✅ OK,minyan
חביתה בהוד השרון,restaurant,restaurant,,,הוד השרון,Hod HaSharon,,,✅ OK?,לא נספר
מסעדה הודי לא יקר ליד הים,restaurant,restaurant,,,,Lod,,,✅ OK?,לא נספר
איפה יש אוכל כשר בנהריה,restaurant,restaurant,,,נהריה,Nahariya,,,✅ OK?,לא נספר
פסטה במודיעין,restaurant,restaurant,,,מודיעין,Modiin,,,✅ OK?,לא נספר
מסעדה אסייתי זול בד״ץ בציריך,restaurant,restaurant,,,ציריך,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
רמת השרון,destination,destination,,,רמת השרון,Ramat HaSharon,,,✅ OK,destination
בית כנסת חב״ד בחדרה,synagogue,synagogue,chabad,chabad,חדרה,Hadera,,,✅ OK?,לא נספר
חדרה,destination,destination,,,חדרה,Hadera,,,✅ OK,destination
מסעדה טבעוני יוקרתי באזור,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה ים תיכוני יוקרתי בבנגקוק פתוח עכשיו,restaurant,restaurant,,,בנגקוק,Bangkok,,,✅ OK?,לא נספר
מחפש בוריטו טב באנטוורפן,restaurant,restaurant,,,אנטוורפן,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה הודי מומלץ גלאט,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה טורקי שווה כאן למשפחות,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
ארוחת לי שבת בראש העין,hosting,hosting,,,ראש העין,Rosh HaAyin,,,✅ OK,hosting
בית כנסת ספרדי בהודו,synagogue,synagogue,sfarad,sfarad,הודו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
פוקה ברומא,restaurant,restaurant,,,רומא,Rome,,,✅ OK?,לא נספר
בית כנסת ליד טבריה,synagogue,synagogue,,,טבריה,Tiberias,,,✅ OK?,לא נספר
שוקולד לא יקר בדימונה פתוח עכשיו,restaurant,restaurant,,,דימונה,Dimona,,,✅ OK?,לא נספר
מרק שווה פה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת ליטאי ליד הבית,synagogue,synagogue,ashkenaz,ashkenaz,,Tel Aviv,,,✅ OK?,לא נספר
גלידה מומלץ בבואנוס איירס,restaurant,restaurant,,,בואנוס איירס,Buenos Aires,,,✅ OK?,לא נספר
בית כנסת בדימונה,synagogue,synagogue,,,דימונה,Dimona,,,✅ OK?,לא נספר
מנגל הכי טו רבנות ליד חדרה,restaurant,restaurant,,,חדרה,Hadera,,,✅ OK?,לא נספר
מסעדה הודי בפורטוגל,restaurant,restaurant,,,פורטוגל,Portugal,,,✅ OK?,לא נספר
גלידה מהדרין ליד גבעתיים,restaurant,restaurant,,,גבעתיים,Givatayim,,,✅ OK?,לא נספר
ריזוטו בונציה עם ילדים,restaurant,restaurant,,,ונציה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מקום טוב לאכול בנוציה,restaurant,restaurant,,,ונציה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
אנטריקוט בטוקיו,restaurant,restaurant,,,טוקיו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
גלידה ליד פריז,restaurant,restaurant,,,פריז,Paris,,,✅ OK?,לא נספר
מסעדה תאילנדי מומלץ בתל אביב עם ילדים,restaurant,restaurant,,,תל אביב,Tel Aviv,,,✅ OK?,לא נספר
מסעדה תימני רבנות בפריז,restaurant,restaurant,,,פריז,Paris,,,✅ OK?,לא נספר
מסעדה פרווה זול רבנות בתאילנד,restaurant,restaurant,,,תאילנד,Thailand,,,✅ OK?,לא נספר
בית כנסת,synagogue,synagogue,,,,Tel Aviv,,,✅ OK?,לא נספר
טאקו ליד שדרות לי הים,restaurant,restaurant,,,שדרות,Sderot,,,✅ OK?,לא נספר
מסעדה חלבי הכי טוב ברחובות,restaurant,restaurant,,,רחובות,Rehovot,,,✅ OK?,לא נספר
מסעדה חבלי מומלץ בלוד,restaurant,restaurant,,,לוד,Lod,,,✅ OK?,לא נספר
מניין ערבית בהרצליה,minyan,minyan,,,הרצליה,Herzliya,,,✅ OK,minyan
מסעדה אסייתי מומלץ ביבנה,restaurant,restaurant,,,יבנה,Yavne,,,✅ OK?,לא נספר
מסעדה בשרי בפורטוגל עם משלוחים,restaurant,restaurant,,,פורטוגל,Portugal,,,✅ OK?,לא נספר
רמת גן,destination,synagogue,,,רמת גן,Ramat Gan,,,✅ OK,synagogue
להתארח בשבת בארה״ב,hosting,hosting,,,ארה״ב,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
יבנה,destination,destination,,,יבנה,Yavne,,,✅ OK,destination
מסעדה פרווה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
שניצל בונציה,restaurant,restaurant,,,ונציה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה טבעוני שווה רנבות באנטוורפן,restaurant,restaurant,,,אנטוורפן,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
קזבלנקה,destination,,,,קזבלנקה,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
קובה בטוקיו,restaurant,restaurant,,,טוקיו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
להתארח בשבת ברמת גן,hosting,hosting,,,רמת גן,Ramat Gan,,,✅ OK,hosting
ארוחת ליל שבת קרוב אליי,hosting,hosting,,,,Tel Aviv,,,✅ OK,hosting
מניין נץ נוסח תימן באנגליה,minyan,minyan,teimanim,teimanim,אנגליה,United Kingdom,,,✅ OK,minyan
נודלס מהדרין באשקלון רומנטי,restaurant,restaurant,,,אשקלון,Ashkelon,,,✅ OK?,לא נספר
פלאפל ליד מדריד,restaurant,restaurant,,,מדריד,Lod,,,✅ OK?,לא נספר
מסעדה טבעוני בד״ץ באשדוד,restaurant,restaurant,,,אשדוד,Ashdod,,,✅ OK?,לא נספר
מסעדה הודי ליד הים,restaurant,restaurant,,,,Lod,,,✅ OK?,לא נספר
בייגל בטבריה לארוחת ערב,restaurant,restaurant,,,טבריה,Tiberias,,,✅ OK?,לא נספר
פרגית ברמת גן,restaurant,restaurant,,,רמת גן,Ramat Gan,,,✅ OK?,לא נספר
מלואוח פה,restaurant,,,,,,,low_confidence,❌ NO_RESULT,low_confidence
שבת,any,hosting,,,,Tel Aviv,,,✅ OK,hosting
טורקיה,destination,,,,טורקיה,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין נץ,minyan,minyan,,,,Tel Aviv,,,✅ OK,minyan
ריזוטו גלאט ליד נהריה ליד הים,restaurant,restaurant,,,נהריה,Nahariya,,,✅ OK?,לא נספר
לפאפל בד״ץ באיסטנבול,restaurant,restaurant,,,איסטנבול,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
אירוח לשבת במעלה אדומים,hosting,hosting,,,מעלה אדומים,Ma'ale Adumim,,,✅ OK,hosting
מסעדה טורקי לא יקר רבנות בטורונטו למשפחות,restaurant,restaurant,,,טורונטו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
לונדון,destination,destination,,,לונדון,London,,,✅ OK,destination
בתי כנסת באזור,synagogue,synagogue,,,,Tel Aviv,,,✅ OK?,לא נספר
איפה אפשר לאכול נודלס ברמלה,restaurant,restaurant,,,רמלה,Ramla,,,✅ OK?,לא נספר
כנאפה ביבנה,restaurant,restaurant,,,יבנה,Yavne,,,✅ OK?,לא נספר
בית כנסת נוסח אשכנז ליד תאילנד,synagogue,synagogue,ashkenaz,ashkenaz,תאילנד,Thailand,,,✅ OK?,לא נספר
שדרות,destination,destination,,,שדרות,Sderot,,,✅ OK,destination
צפת,destination,destination,,,צפת,Tzfat,,,✅ OK,destination
איפה אפשר לאכול לזניה באתונ,restaurant,restaurant,,,אתונה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
חומוס בזכרון יעקב ליד הים,restaurant,restaurant,,,זכרון יעקב,Zichron Yaakov,,,✅ OK?,לא נספר
דגים זול ברעננה,restaurant,restaurant,,,רעננה,Ra'anana,,,✅ OK?,לא נספר
מודיעין,destination,destination,,,מודיעין,Modiin,,,✅ OK,destination
סלט יוקרתי באתונה,restaurant,restaurant,,,אתונה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מלבי ליד הרצליה עם משלוחים,restaurant,restaurant,,,הרצליה,Herzliya,,,✅ OK?,לא נספר
מקום לשבת בבלגיה,hosting,hosting,,,בלגיה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
קואסון,restaurant,,,,,,,low_confidence,❌ NO_RESULT,low_confidence
ראמן מהדרין במילאנו עם משלוחים,restaurant,restaurant,,,מילאנו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה פרווה מהדרין בליון,restaurant,restaurant,,,ליון,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
בית כנסת באשדוד,synagogue,synagogue,,,אשדוד,Ashdod,,,✅ OK?,לא נספר
ניוקי שווה לי חיפה,restaurant,restaurant,,,חיפה,Haifa,,,✅ OK?,לא נספר
ראמן רבנות בבית שמש,restaurant,restaurant,,,בית שמש,Beit Shemesh,,,✅ OK?,לא נספר
ג׳חנון בד״ץ לארוחת בוקר,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין נץ עדות המזרח באתונה,minyan,minyan,sfarad,sfarad,אתונה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה כשרה בג׳רבה,restaurant,restaurant,,,ג׳רבה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
בית כנסת עדות המזרח כאן,synagogue,synagogue,sfarad,sfarad,,Tel Aviv,,,✅ OK?,לא נספר
מניין מוסף בעפולה,minyan,minyan,,,עפולה,Afula,,,✅ OK,minyan
ניוקי ליד איסטנבלו,restaurant,restaurant,,,איסטנבול,Lod,,,✅ OK?,לא נספר
מסעדה יפני לא יקר גבן יבנה,restaurant,restaurant,,,גן יבנה,Yavne,,,✅ OK?,לא נספר
מניין מוסף עדות המזרח באזור,minyan,minyan,sfarad,sfarad,,Tel Aviv,,,✅ OK,minyan
בתי כנסת נוסח תימן,synagogue,synagogue,teimanim,teimanim,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה תאילנדי הכי טוב בד״ץ בהרצליה,restaurant,restaurant,,,הרצליה,Herzliya,,,✅ OK?,לא נספר
מינין מוסף בנאפולי,minyan,minyan,,,נאפולי,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
בייגל רבנות באור יהודה,restaurant,restaurant,,,אור יהודה,Or Yehuda,,,✅ OK?,לא נספר
נודלס,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מקום טוב לאכול בארגנטינה,restaurant,restaurant,,,ארגנטינה,Argentina,,,✅ OK?,לא נספר
ארוחת שבת פה,hosting,hosting,,,אמסטרדם,Tel Aviv,,,✅ OK,hosting
סעודה שלישית באזור,hosting,hosting,,,רעננה,,,destination_not_found,❌ NO_RESULT,destination_not_found
ארוחת שבת בוינה,hosting,hosting,,,וינה,Vienna,,,✅ OK,hosting
בית כנסת בלאדי בבית שמש,synagogue,synagogue,teimanim,teimanim,בית שמש,Beit Shemesh,,,✅ OK?,לא נספר
מלאווח לי אשדוד,restaurant,restaurant,,,אשדוד,Ashdod,,,✅ OK?,לא נספר
בית כנסת חסידי קרוב אליי,synagogue,synagogue,chabad,chabad,,Tel Aviv,,,✅ OK?,לא נספר
מעורב ירושלמי בבלגיה עם משלוחים,restaurant,restaurant,,,בלגיה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה ים תיכוני גלאט בדימונה,restaurant,restaurant,,,דימונה,Dimona,,,✅ OK?,לא נספר
מסעדה מרוקאי במיאמי לארוחת ערב,restaurant,restaurant,,,מיאמי,Miami,,,✅ OK?,לא נספר
מסעדה צמחוני בצרפת,restaurant,restaurant,,,צרפת,France,,,✅ OK?,לא נספר
פיצה באזור,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
יוון,destination,,,,יוון,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
ג׳רבה,destination,,,,ג׳רבה,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
